pool	chain	project	symbol	tvl	apyBase	apyReward	apy	cnt	outlier	cls	prob	corr.apy.tvl	corr.apy.tvl.ma30
42e8b934-2df6-49e5-9170-70bc386a6f01	Ethereum	wing-finance	USDT	162430	2.15058	0.98537	3.13595	8	False	Down	64.0	-0.37853060616523426	-0.37853060616523426
1dd764e3-4c39-4dd5-9e3f-284498f2aa22	Fantom	aave-v3	fUSDT	161284	2.20082	0.0	2.20082	31	False	Down	55.00000000000001	-0.49548694073873506	-0.5235308470343717
db8211d2-2815-45cf-bb60-3b22d0a55992	Avalanche	platypus-finance	USDC	161067	0.0	0.0	0.0	20	False	Unknown	0.0	0.6348430254482837	0.6348430254482837
4d9c226a-a7ad-4457-9792-24ce50ae253d	Fantom	tarot	USDC	160195	0.26306	0.0	0.26306	6	False	Stable/Up	62.0	-0.9761137726691407	-0.9761137726691407
21d32b58-c420-4a7f-a822-3137e2729816	Fantom	tarot	USDC	154554	0.0004	0.0	0.0004	6	False	Stable/Up	56.00000000000001	0.6654571253908068	0.6654571253908068
74525803-a8ab-446b-9a4e-f91ad2a41eea	Binance	bolide	USDC	153664	8.7718	0.0	8.7718	22	False	Stable/Up	64.0	0.003852936637944618	0.003852936637944618
a731eb9d-934f-4953-a1dd-489a6880756d	Optimism	dforce	DAI	150983	6.05961	0.0	6.05961	64	False	Stable/Up	62.0	-0.5736133641511102	-0.7715287524936854
a7d5c193-9aec-46ac-97a8-7719ce5c5914	Fantom	tarot	USDC	150855	0.37874	0.0	0.37874	6	False	Stable/Up	55.00000000000001	-0.9716561774818224	-0.9716561774818224
73dcea4d-c408-4095-8dbe-ca2be9887dee	Polygon	atlendis	USDC	148192	7.27903	0.0	7.27903	56	False	Down	68.0	0.24158910307935427	7.866469451699323e-16
840b2031-a0b8-47bc-8675-c9287cd208a9	Fantom	acryptos	DAI	148190	9.02	0.0	9.02	64	False	Stable/Up	65.0	0.12596712175463134	-0.05700634166921916
e3802349-333e-4e92-8503-1646a337895a	Solana	solend	USDH	147362	3.33802	0.0	3.33802	50	False	Stable/Up	59.0	-0.5005142708611063	-0.7415177618161884
9000c9f2-d97b-4e87-bb62-a59bc1a19180	Polygon	0vix	0VIX(PoS)DaiStablecoin	146820	2.08227	0.0	2.08227	28	False	Stable/Up	81.0	-0.2955151402574221	-0.2955151402574221
